a52dec 0.7.4-10
perl-www-robotrules 6.02-6
perl-xml-libxml 2.0205-1
perl-xml-namespacesupport 1.12-3
perl-xml-parser 2.46-1
perl-xml-sax 1.02-1
perl-xml-sax-base 1.09-3
perl-xml-writer 0.625-5
physfs 3.0.2-1
picom 8-2
pigz 2.4-1
pikaur 1.6.9.1-1
pinentry 1.1.0-5
pixman 0.40.0-1
pixz 1.0.6-2
pkcs11-helper 1.26.0-1
pkgconf 1.6.3-4
playerctl 2.1.1-1
polkit 0.116-5
polkit-gnome 0.105-4
polkit-qt5 0.113.0-1
polybar 3.4.2-2
poppler 0.88.0-1
poppler-glib 0.88.0-1
poppler-qt5 0.88.0-1
popt 1.16-12
portaudio 1:19.6.0-6
ppp 2.4.7-7
pptpclient 1.10.0-2
procps-ng 3.3.16-1
progsreiserfs 0.3.0.5-9
psmisc 23.3-2
pulseaudio 13.0-3
pulseaudio-alsa 2-5
pulseaudio-bluetooth 13.0-3
pyalpm 0.9.1-2
pycharm-community-edition 2020.1.1-1
pygobject-devel 3.36.1-1
pygtk 2.24.0-12
python 3.8.2-2
python-appdirs 1.4.3-5
python-argh 0.26.2-6
python-beautifulsoup4 4.9.0-1
python-blessings 1.7-4
python-cairo 1.19.1-1
python-cffi 1.14.0-2
python-chardet 3.0.4-4
python-configobj 5.0.6-7
python-curtsies 0.3.1-1
python-dbus 1.2.16-1
python-dbus-common 1.2.16-1
python-distro 1.5.0-1
python-docopt 0.6.2-7
python-evdev 1.3.0-1
python-future 0.18.2-2
python-gobject 3.36.1-1
python-greenlet 0.4.15-4
python-httplib2 0.17.3-1
python-idna 2.9-1
python-jedi 0.16.0-1
python-keyutils 0.6-4
python-lxml 4.5.0-1
python-markdown 3.1.1-4
python-numpy 1.18.4-1
python-ordered-set 3.1.1-1
python-packaging 20.3-1
python-parso 0.7.0-1
python-pathtools 0.1.2-7
python-pillow 6.2.1-1
python-ply 3.11-4
python-psutil 5.7.0-1
python-pycodestyle 2.5.0-3
python-pycparser 2.20-1
python-pycups 2.0.1-1
python-pycurl 7.43.0.5-1
python-pygments 2.6.1-2
python-pynacl 1.3.0-3
python-pyparsing 2.4.7-1
python-pyparted 3.11.3-1
python-pywal 3.3.0-2
python-pyxdg 0.26-6
python-requests 2.23.0-1
python-setproctitle 1.1.10-5
python-setuptools 1:46.1.3-1
python-six 1.14.0-1
python-soupsieve 1.9.5-2
python-systemd 234-4
python-urllib3 1.25.9-1
python-watchdog 0.10.2-2
python-wcwidth 0.1.9-1
python-xapp 2.0.0-1
python-xlib 0.27-1
python-yaml 5.3.1-1
python2 2.7.18-1
python2-backports 1.0-2
python2-cairo 1.18.2-4
python2-configparser 4.0.2-1
python2-dbus 1.2.16-1
python2-gobject2 2.28.7-5
python2-pyxdg 0.26-6
qmltermwidget 0.2.0-1
qpdf 10.0.1-1
qt5-base 5.14.2-2
qt5-declarative 5.14.2-1
qt5-graphicaleffects 5.14.2-1
qt5-location 5.14.2-2
qt5-multimedia 5.14.2-1
qt5-quickcontrols 5.14.2-1
qt5-sensors 5.14.2-1
qt5-speech 5.14.2-1
qt5-styleplugins 5.0.0.20170311-20
qt5-svg 5.14.2-1
qt5-wayland 5.14.2-1
qt5-webchannel 5.14.2-1
qt5-webkit 5.212.0alpha4-4
qt5-x11extras 5.14.2-1
qt5-xmlpatterns 5.14.2-1
qt5ct 0.41-2
ranger 1.9.3-1
raptor 2.0.15-13
rasqal 1:0.9.33-3
re2 1:20200501-1
readline 8.0.004-1
recode 3.7.6-1
redland 1:1.0.17-7
refind 0.12.0-6
reflector 2020.3.21.2-1
reiserfsprogs 3.6.27-3
remarkable 1.87-6
rest 0.8.1-3
rhash 1.3.9-1
ristretto 0.10.0-2
rofi 1.5.4-1
rp-pppoe 3.13-1
rpcbind 1.2.5-3
rsync 3.1.3-3
rtkit 0.13-1
rtmpdump 1:2.4.r96.fa8646d-6
rubberband 1.8.2-3
ruby 2.7.1-2
ruby-diff-lcs 1.3-4
ruby-irb 1.2.1-1
ruby-manpages 0.6.1-3
ruby-optimist 3.0.0-2
ruby-paint 2.1.0-2
ruby-rainbow 3.0.0-5
ruby-rdoc 6.2.0-2
ruby-reline 0.0.7-2
ruby-rspec 3.8.0-3
ruby-rspec-core 3.8.0-3
ruby-rspec-expectations 3.8.1-3
ruby-rspec-mocks 3.8.0-3
ruby-rspec-support 3.8.0-3
ruby-term-ansicolor 1.6.0-3
ruby-tins 1.16.3-3
rubygems 3.1.2-4
run-parts 4.8.6.1-2
rust 1:1.43.1-1
rxvt-unicode 9.22-9
rxvt-unicode-terminfo 9.22-9
sane 1.0.29-1
sardi-icons 20.4-1
sbc 1.4-1
screen 4.8.0-1
scrot 1.2-1
sdl 1.2.15-13
sdl2 2.0.12-1
sdl2_ttf 2.0.15-1
sdl_image 1.2.12-5
sdparm 1.11-1
sed 4.8-1
semver 7.3.2-1
serd 0.30.4-1
sg3_utils 1.45-1
shaderc 2020.0-1
shadow 4.8.1-1
shared-mime-info 2.0+1+g6bf9e4f-1
simple-scan 3.36.2.1-1
sl 5.02-5
slang 2.3.2-2
slurm 0.4.3-1
smartmontools 7.1-1
smbclient 4.12.2-3
snappy 1.1.8-1
solid 5.69.0-1
sonnet 5.69.0-1
sord 0.16.4-1
sound-theme-freedesktop 0.8-3
soundtouch 2.1.2-1
spandsp 0.0.6-2
speedtest-cli 2.1.2-2
speex 1.2.0-2
speexdsp 1.2.0-1
spirv-tools 2020.2-1
splix 2.0.0-14
sqlite 3.31.1-1
squashfs-tools 4.4-1
sratom 0.6.4-1
srt 1.4.1-1
sshfs 3.7.0-1
sssd 2.2.3-7
startup-notification 0.12-6
steam 1.0.0.61-4
stoken 0.92-4
sudo 1.8.31.p1-1
surfn-icons-git 20.4-1
surfn-mint-y-icons-git 398.2442a3a26-1
sysfsutils 2.1.0-11
syslinux 6.04.pre2.r11.gbf6db5b4-3
system-config-printer 1.5.12+33+g23b454ef-1
system76-acpi-dkms 1.0.1-1
system76-dkms 1.0.8-1
system76-driver 20.04.6-1
system76-firmware-daemon 1.0.11-1
system76-io-dkms 1.0.1-1
systemd 245.5-2
systemd-libs 245.5-2
systemd-sysvcompat 245.5-2
taglib 1.11.1-3
talloc 2.3.1-1
tar 1.32-3
tcl 8.6.10-1
tcpdump 4.9.3-1
tdb 1.4.3-2
teams 1.3.00.5153-1
terminus-font 4.48-1
termite 15-1
termite-terminfo 15-1
testdisk 7.1-1
tevent 1:0.10.2-1
texinfo 6.7-3
thin-provisioning-tools 0.8.5-3
thunar 1.8.14-1
thunar-archive-plugin 0.4.0-2
thunar-media-tags-plugin 0.3.0-1
thunar-volman 0.9.5-2
thunderbird 68.8.0-1
tmux 3.1_b-1
toilet 0.3.r155.3eb9d58-1
tolua++ 1.0.93-3
tree 1.8.0-2
trizen 1:1.63-1
tslib 1.21-1
ttf-anonymous-pro 1.003-4
ttf-bitstream-vera 1.10-12
ttf-croscore 20190926-4
ttf-dejavu 2.37-3
ttf-droid 20121017-7
ttf-fantasque-sans-mono 1.8.0-2
ttf-fira-code 3.1-1
ttf-font-awesome 5.13.0-1
ttf-font-icons 1.1-1
ttf-hack 3.003-2
ttf-inconsolata 1:3.000-2
ttf-liberation 2.1.0-1
ttf-ms-fonts 2.0-10
ttf-nerd-fonts-hack-complete-git 20200418-1
ttf-nerd-fonts-symbols 2.1.0+36+gd0bf73a1-2
ttf-roboto 2.138-2
ttf-ubuntu-font-family 0.83-5
tty-clock 2.3-1
tumbler 0.2.8-1
twolame 0.4.0-2
tzdata 2020a-1
uchardet 0.0.7-1
udiskie 2.1.1-1
udisks2 2.8.4-2
ufetch-arco-git 1:r153.9831ec2-1
ufetch-git 1:r153.9831ec2-1
unace 2.5-11
unixodbc 2.3.7-2
unrar 1:5.9.2-1
unzip 6.0-14
upower 0.99.11-1
urxvt-perls 2.3-1
urxvt-resize-font-git 26.e966a5d-1
usb_modeswitch 2.6.0-2
usbmuxd 1.1.0+69+g8a69f1a-1
usbutils 012-2
util-linux 2.35.1-2
v4l-utils 1.18.1-1
vamp-plugin-sdk 2.9.0-1
variety 0.8.3-1
vi 1:070224-4
vid.stab 1.1-2
vim 8.2.0717-2
vim-airline-themes r1386.63b66df-1
vim-jedi 0.10.0-3
vim-pep8 1.1-1
vim-plug 0.10.0-1
vim-runtime 8.2.0717-2
vim-simpylfold 1.1-1
vim-syntastic 3.10.0-1
vim-theme-codeschool 1.0.0-1
visual-studio-code-bin 1.45.0-1
vivaldi 3.0.1874.38-1
vlc 3.0.10-1
volume_key 0.3.12-2
volumeicon 0.5.1-4
vpnc 1:0.5.3.r462.r78-1
vte-common 0.60.2-2
vte3 0.60.2-2
vulkan-icd-loader 1.2.140-1
vundle 0.10.2-2
w3m 0.5.3.git20190105-1
wavpack 5.2.0-1
wayland 1.18.0-2
wayland-protocols 1.20-1
webkit2gtk 2.28.2-2
webrtc-audio-processing 0.3.1-1
wget 1.20.3-3
which 2.21-5
wildmidi 0.4.3-1
wireless-regdb 2019.06.03-2
wireless_tools 30.pre9-3
wkhtmltopdf 0.12.5-1
wmctrl 1.07-5
woff2 1.0.2-3
wpa_supplicant 2:2.9-7
wpebackend-fdo 1.6.0-1
wttr 1.2.1-2
wvdial 1.61-7
wvstreams 4.6.1-16
x264 3:0.159.r2999.296494a-1
x265 3.3-1
xapps 1.8.1-1
xcb-proto 1.14-1
xcb-util 0.4.0-3
xcb-util-cursor 0.1.3-3
xcb-util-image 0.4.0-3
xcb-util-keysyms 0.4.0-3
xcb-util-renderutil 0.3.9-3
xcb-util-wm 0.4.1-3
xcb-util-xrm 1.3-2
xcursor-comix 0.9.0-3
xcursor-flatbed 0.4-2
xcursor-neutral 1.13a-8
xcursor-premium 0.3-9
xcursor-simpleandsoft 0.2-8
xdg-dbus-proxy 0.1.2-1
xdg-desktop-portal-gtk 1.7.1-1
xdg-user-dirs 0.17-2
xdg-utils 1.1.3+19+g9816ebb-1
xdo 0.5.7-2
xdotool 3.20160805.1-2
xf86-input-elographics 1.4.2-1
xf86-input-evdev 2.10.6-1
xf86-input-libinput 0.29.0-2
xf86-input-vmmouse 13.1.0-4
xf86-input-void 1.4.1-4
xf86-video-amdgpu 19.1.0-1
xf86-video-ati 1:19.1.0-1
xf86-video-fbdev 0.5.0-1
xf86-video-intel 1:2.99.917+906+g846b53da-1
xf86-video-nouveau 1.0.16-1
xf86-video-openchrome 0.6.0-4
xf86-video-vesa 2.4.0-3
xf86-video-vmware 13.3.0-2
xfce4-appfinder 4.14.0-1
xfce4-notifyd 0.6.1-1
xfce4-panel 4.14.4-1
xfce4-power-manager 1.6.6-1
xfce4-screenshooter 1.9.7-1
xfce4-settings 4.14.3-1
xfce4-taskmanager 1.2.3-1
xfconf 4.14.3-1
xfsprogs 5.6.0-2
xfwm4 4.14.2-1
xkeyboard-config 2.29-1
xl2tpd 1.3.15-1
xmlsec 1.2.30-2
xorg-bdftopcf 1.1-2
xorg-font-util 1.3.2-1
xorg-font-utils 7.6-5
xorg-fonts-encodings 1.0.5-1
xorg-iceauth 1.0.8-2
xorg-luit 1.1.1-3
xorg-mkfontscale 1.2.1-2
xorg-server 1.20.8-2
xorg-server-common 1.20.8-2
xorg-sessreg 1.1.2-1
xorg-setxkbmap 1.3.2-1
xorg-smproxy 1.0.6-2
xorg-x11perf 1.6.1-1
xorg-xauth 1.1-1
xorg-xbacklight 1.2.3-2
xorg-xcmsdb 1.0.5-2
xorg-xcursorgen 1.0.7-1
xorg-xdpyinfo 1.3.2-3
xorg-xdriinfo 1.0.6-2
xorg-xev 1.2.3-1
xorg-xgamma 1.0.6-2
xorg-xhost 1.0.8-1
xorg-xinit 1.4.1-1
xorg-xinput 1.6.3-1
xorg-xkbcomp 1.4.3-1
xorg-xkbevd 1.1.4-2
xorg-xkbutils 1.0.4-3
xorg-xkill 1.0.5-2
xorg-xlsatoms 1.1.3-2
xorg-xlsclients 1.1.4-2
xorg-xmodmap 1.0.10-1
xorg-xpr 1.0.5-2
xorg-xprop 1.2.4-1
xorg-xrandr 1.5.1-1
xorg-xrdb 1.2.0-1
xorg-xrefresh 1.0.6-2
xorg-xset 1.2.4-2
xorg-xsetroot 1.1.2-2
xorg-xvinfo 1.1.4-1
xorg-xwd 1.0.7-2
xorg-xwininfo 1.1.5-1
xorg-xwud 1.0.5-2
xorgproto 2020.1-1
xplc 0.3.13-8
xsel 1.2.0.20190821-1
xvidcore 1.3.7-1
xwallpaper 0.6.5-1
xz 5.2.5-1
yad 6.0-1
yajl 2.1.0-2
yay-bin 9.4.7-1
youtube-dl 2020.05.08-1
zbar 0.23.1-1
zenity 3.32.0+17+gfb0938f-1
zeromq 4.3.2-1
zip 3.0-9
zita-alsa-pcmi 0.3.2-2
zita-resampler 1.6.2-2
zlib 1:1.2.11-4
zoom 5.0.399860.0429-1
zstd 1.4.4-1
zvbi 0.2.35-3
zziplib 0.13.71-1
