a52dec 0.7.4-10
figlet 2.2.5-3
file 5.38-3
file-roller 3.36.2-1
filesystem 2020.05.03-1
findutils 4.7.0-2
firefox 76.0.1-1
flac 1.3.3-1
flex 2.6.4-3
fluidsynth 2.1.2-1
fontconfig 2:2.13.91+24+g75eadca-2
foomatic-db-engine 4:20200206-1
fortune-mod 2.12.0-1
frameworkintegration 5.69.0-1
freealut 1.1.0-7
freeglut 3.2.1-1
freeoffice 976-1
freetype2 2.10.1-2
fribidi 1.0.9-1
fsarchiver 0.8.5-1
ftgl 2.4.0-1
fuse-common 3.9.1-1
fuse2 2.9.9-3
fuse3 3.9.1-1
garcon 0.6.4-1
gawk 5.1.0-1
gc 8.0.4-3
gcab 1.4-1
gcc 9.3.0-1
gcc-libs 9.3.0-1
gconf 3.2.6+11+g07808097-6
gcr 3.36-1
gd 2.3.0-1
gdbm 1.18.1-3
gdk-pixbuf2 2.40.0-2
gettext 0.20.2-1
ghostscript 9.52-1
giblib 1.2.4-7
giflib 5.2.1-1
git 2.26.2-1
gitahead-bin 2.6.2-1
gitfiend 0.22.8-1
gitg 1:3.32.1+17+gb4c8155f-1
gitkraken 6.6.0-1
gksu 2.0.2-6
glances 3.1.4.1-1
glib-networking 2.64.2-1
glib2 2.64.2-1
glibc 2.31-2
glibmm 2.64.2-1
glslang 8.13.3743-1
glu 9.0.1-1
gmp 6.2.0-1
gmrun 0.9.5w-1
gnome-bluetooth 3.34.1-1
gnome-chess 3.36.0-1
gnome-desktop 1:3.36.2-1
gnome-disk-utility 3.36.1-2
gnome-keyring 1:3.36.0-1
gnome-themes-extra 3.28-1
gnu-netcat 0.7.1-7
gnupg 2.2.20-1
gnutls 3.6.13-2
go 2:1.14.2-1
gobject-introspection-runtime 1.64.1-2
gotop-bin 3.5.1-1
gparted 1.1.0-1
gpgme 1.13.1-5
gpm 1.20.7.r27.g1fd1941-2
gptfdisk 1.0.5-1
graphene 1.10.0-1
graphite 1:1.3.14-1
grep 3.4-1
groff 1.22.4-3
grub 2:2.04-6
grub-customizer 5.1.0-1
gsettings-desktop-schemas 3.36.1-1
